Open,High,Low,Close,Volume
1413.6,1422.72,1406.25,1413.9,0
1412.77,1415.7,1404.37,1407.49,0
1405.6,1421.57,1397.1,1418.26,0
1417.49,1419.54,1391.16,1392.57,0
1394.29,1402.35,1389.39,1397.68,0
1394.9,1394.9,1384.11,1388.28,0
1389.4,1404.06,1386.2,1403.58,0
1404.4,1406.3,1396.26,1403.04,0
1405.65,1420.19,1405.65,1408.66,0
1408.36,1424.4,1406.87,1423.57,0
1423.89,1425.82,1414.35,1425.35,0
1425.28,1440.24,1421.63,1426.63,0
1424.49,1424.49,1409.09,1413.4,0
1414.06,1419.12,1388.81,1390.71,0
1390.83,1399.07,1390.23,1394.35,0
1392.2,1392.2,1373.72,1375.93,0
1375.97,1387.4,1373.07,1385.35,0
1386.54,1391.25,1378.16,1390.84,0
1390.5,1406.32,1388.59,1398.26,0
1398.36,1404.46,1398.08,1400.38,0
1399.62,1399.62,1377.79,1385.67,0
1386.42,1393.12,1370.12,1377.65,0
1376.26,1388.18,1371.74,1377.2,0
1377.48,1404.05,1377.48,1404.05,0
1400.06,1400.06,1359.9,1360.68,0
1360.83,1370.63,1350.62,1361.76,0
1358.98,1366.84,1351.56,1358.44,0
1357.09,1357.09,1335.47,1335.49,0
1335.78,1353.03,1331.29,1339.87,0
1341.81,1360.03,1341.71,1357.5,0
1358.85,1364.7,1352.07,1360.14,0
1360.71,1366.59,1350.54,1350.93,0
1349.59,1349.59,1333.4,1337.81,0
1336.89,1347.66,1330.5,1342.83,0
1341.02,1341.02,1314.46,1317.93,0
1319.77,1323.78,1315.31,1318.0,0
1317.23,1326.02,1304.42,1314.29,0
1314.54,1335.63,1314.54,1321.97,0
1316.29,1316.29,1283.15,1283.15,0
1283.6,1289.45,1272.0,1278.38,0
1278.06,1290.31,1274.86,1280.0,0
1276.68,1285.31,1260.68,1284.91,0
1285.81,1292.17,1261.51,1261.52,0
1262.96,1271.48,1252.01,1262.9,0
1262.9,1273.95,1240.68,1252.31,0
1251.84,1274.17,1242.84,1273.69,0
1273.38,1277.36,1244.57,1244.68,0
1245.25,1257.65,1236.76,1253.39,0
1248.66,1257.27,1225.35,1239.49,0
1241.61,1253.5,1225.01,1228.3,0
1226.82,1234.35,1200.44,1214.91,0
1214.65,1245.52,1211.39,1245.36,0
1246.31,1262.31,1241.49,1260.31,0
1258.22,1262.23,1251.81,1260.68,0
1261.81,1267.74,1255.7,1260.0,0
1257.07,1277.42,1248.82,1277.0,0
1278.87,1291.17,1276.06,1282.18,0
1283.22,1283.22,1251.48,1252.54,0
1253.51,1263.23,1251.75,1257.76,0
1257.76,1260.09,1234.37,1234.37,0
1236.38,1263.2,1236.38,1263.19,0
1264.52,1284.33,1264.52,1284.26,0
1281.37,1284.93,1265.97,1267.38,0
1269.42,1270.52,1254.54,1260.31,0
1260.16,1260.49,1247.45,1249.01,0
1254.87,1284.88,1254.67,1284.88,0
1283.99,1291.67,1276.0,1289.18,0
1286.51,1286.51,1264.29,1266.06,0
1266.29,1297.85,1262.11,1296.31,0
1294.42,1313.15,1291.41,1305.31,0
1304.79,1304.79,1285.64,1289.59,0
1288.64,1294.03,1274.86,1285.82,0
1282.11,1300.11,1276.84,1292.93,0
1293.85,1302.05,1290.74,1298.19,0
1298.14,1300.22,1274.51,1278.6,0
1276.65,1276.65,1263.11,1266.68,0
1267.34,1276.01,1261.16,1274.54,0
1271.06,1281.4,1265.22,1277.72,0
1277.59,1293.09,1277.59,1292.19,0
1290.47,1290.47,1264.87,1266.84,0
1267.03,1275.65,1263.21,1271.51,0
1271.29,1285.05,1270.03,1281.66,0
1283.79,1300.68,1283.79,1300.68,0
1296.49,1297.59,1282.74,1282.82,0
1287.82,1303.04,1272.2,1277.57,0
1276.61,1280.6,1265.59,1274.98,0
1271.8,1271.8,1232.83,1236.82,0
1233.21,1244.94,1217.23,1242.31,0
1249.5,1274.42,1247.12,1267.79,0
1267.98,1268.66,1224.51,1224.51,0
1227.5,1243.9,1221.6,1232.04,0
1229.04,1249.98,1211.54,1249.05,0
1245.88,1255.09,1233.81,1251.69,0
1250.92,1250.92,1192.69,1192.69,0
1188.31,1214.84,1169.28,1213.6,0
1210.34,1210.34,1155.88,1156.39,0
1157.07,1211.14,1133.5,1206.51,0
1213.11,1265.12,1213.11,1255.07,0
1255.37,1255.37,1205.61,1207.09,0
1207.61,1221.15,1187.06,1188.22,0
1188.79,1197.41,1179.79,1185.87,0
1187.87,1220.03,1187.87,1209.18,0
1204.47,1215.77,1187.54,1213.27,0
1209.06,1209.07,1106.42,1106.42,0
1113.78,1168.03,1113.78,1164.74,0
1164.17,1167.03,1140.77,1161.06,0
1160.64,1160.64,1111.43,1114.28,0
1115.16,1153.82,1098.14,1099.23,0
1097.56,1097.56,1007.97,1056.89,0
1057.6,1072.91,996.23,996.23,0
988.91,1021.06,970.97,984.94,0
988.42,1005.25,909.19,909.92,0
902.31,936.36,839.8,899.22,0
